"filename", "language", "SCSS", "PHP", "CSS", "JavaScript", "SQL", "HTML", "XML", "comment", "blank", "total"
"e:\Code\htdocs\v2\site\action\ct428\Buoi1\Bai1.html", "HTML", 0, 0, 0, 0, 0, 85, 0, 0, 1, 86
"e:\Code\htdocs\v2\site\action\ct428\Buoi1\Bai2.html", "HTML", 0, 0, 0, 0, 0, 84, 0, 0, 1, 85
"e:\Code\htdocs\v2\site\action\ct428\Buoi2\Bai1.html", "HTML", 0, 0, 0, 0, 0, 90, 0, 0, 1, 91
"e:\Code\htdocs\v2\site\action\ct428\Buoi2\Bai2.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 5, 7, 68
"e:\Code\htdocs\v2\site\action\ct428\Buoi3\Bai1\index.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"e:\Code\htdocs\v2\site\action\ct428\Buoi3\Bai1\ttcn.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"e:\Code\htdocs\v2\site\action\ct428\index.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Code\htdocs\v2\site\action\home\index.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Code\htdocs\v2\site\database\saveThanhVien.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Code\htdocs\v2\site\widget\about-content.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 1, 79
"e:\Code\htdocs\v2\site\widget\blog-content.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Code\htdocs\v2\site\widget\buoi3-bai1-content.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 69
"e:\Code\htdocs\v2\site\widget\contact-content.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Code\htdocs\v2\site\widget\ct428-content.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 2, 56
"e:\Code\htdocs\v2\site\widget\header.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Code\htdocs\v2\site\widget\home-content.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"e:\Code\htdocs\v2\site\widget\hoverbar.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Code\htdocs\v2\site\widget\menu.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Code\htdocs\v2\site\widget\preloading.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Code\htdocs\v2\sys\data.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"e:\Code\htdocs\v2\sys\site.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"Total", "-", 982, 797, 1033, 56, 19, 1197, 190, 89, 358, 4721
